object_id,right_ascension,declination,spe_vel_disp_e
-669979781476631565,66.99797818693163,-47.6631565739745,680.0
-669979781476631565,66.99797818693163,-47.6631565739745,220.0
-669979781476631565,66.99797818693163,-47.6631565739745,680.0
-669979311475191387,66.99793117658135,-47.51913871727283,680.0
-669979311475191387,66.99793117658135,-47.51913871727283,580.0
-669979191475617432,66.997919105285,-47.561743282192715,680.0
-669979191475617432,66.997919105285,-47.561743282192715,520.0
-669979191475617432,66.997919105285,-47.561743282192715,680.0
-669977640474331067,66.99776408696354,-47.43310677044699,680.0
-669977640474331067,66.99776408696354,-47.43310677044699,380.0
-669977640474331067,66.99776408696354,-47.43310677044699,680.0
-669977321474986534,66.99773219658219,-47.49865344460381,540.0
-669977321474986534,66.99773219658219,-47.49865344460381,520.0
-669977321474986534,66.99773219658219,-47.49865344460381,200.0
-669977321474986534,66.99773219658219,-47.49865344460381,400.0
-669977037476491799,66.9977037695266,-47.649179932425945,460.0
-669977037476491799,66.9977037695266,-47.649179932425945,400.0
-669977037476491799,66.9977037695266,-47.649179932425945,680.0
-669974752475166599,66.99747525198532,-47.51665991289902,680.0
-669974503474940131,66.99745036737018,-47.49401317277709,280.0
-669974454476274479,66.99744542633955,-47.6274479473817,680.0
-669974454476274479,66.99744542633955,-47.6274479473817,680.0
-669974454476274479,66.99744542633955,-47.6274479473817,460.0
-669974454476274479,66.99744542633955,-47.6274479473817,660.0
-669973759476826376,66.99737590442588,-47.68263769626611,680.0
-669973759476826376,66.99737590442588,-47.68263769626611,680.0
-669973759476826376,66.99737590442588,-47.68263769626611,680.0
-669972320474689783,66.99723206384917,-47.46897837543789,320.0
-669972320474689783,66.99723206384917,-47.46897837543789,360.0
-669972320474689783,66.99723206384917,-47.46897837543789,680.0
-669972320474689783,66.99723206384917,-47.46897837543789,320.0
-669972232474847917,66.9972232064226,-47.484791778363046,680.0
-669972232474847917,66.9972232064226,-47.484791778363046,680.0
-669972232474847917,66.9972232064226,-47.484791778363046,200.0
-669972232474847917,66.9972232064226,-47.484791778363046,680.0
-669972232474847917,66.9972232064226,-47.484791778363046,360.0
-669971215474871101,66.99712156122236,-47.487110122612066,260.0
-669971215474871101,66.99712156122236,-47.487110122612066,200.0
-669971207475415308,66.99712076038523,-47.54153080374657,220.0
-669971103476364045,66.99711034865383,-47.636404553929424,680.0
-669971103476364045,66.99711034865383,-47.636404553929424,680.0
-669970950475334080,66.99709505237288,-47.533408061479385,680.0
-669970950475334080,66.99709505237288,-47.533408061479385,200.0
-669970950475334080,66.99709505237288,-47.533408061479385,320.0
-669970950475334080,66.99709505237288,-47.533408061479385,240.0
-669969460476806661,66.99694609715928,-47.68066615652091,400.0
-669969460476806661,66.99694609715928,-47.68066615652091,460.0
-669968714475012778,66.99687145434012,-47.501277894060124,420.0
-669968714475012778,66.99687145434012,-47.501277894060124,540.0
-669968714475012778,66.99687145434012,-47.501277894060124,680.0
-669967311477078201,66.99673112330925,-47.707820157029694,680.0
-669967311477078201,66.99673112330925,-47.707820157029694,400.0
-669967071477095590,66.99670717647984,-47.70955902040452,680.0
-669967071477095590,66.99670717647984,-47.70955902040452,680.0
-669967071477095590,66.99670717647984,-47.70955902040452,680.0
-669967071477095590,66.99670717647984,-47.70955902040452,680.0
-669966313476171839,66.9966313708158,-47.617183975936605,680.0
-669966313476171839,66.9966313708158,-47.617183975936605,220.0
-669966313476171839,66.9966313708158,-47.617183975936605,200.0
-669966271476216532,66.99662712016976,-47.621653264660715,200.0
-669966271476216532,66.99662712016976,-47.621653264660715,200.0
-669964566477272711,66.9964566190869,-47.72727114233857,680.0
-669964566477272711,66.9964566190869,-47.72727114233857,680.0
-669964566477272711,66.9964566190869,-47.72727114233857,680.0
-669963709475798329,66.99637092887986,-47.579832933311614,680.0
-669963709475798329,66.99637092887986,-47.579832933311614,300.0
-669961881475065437,66.996188158213,-47.506543779318,680.0
-669961881475065437,66.996188158213,-47.506543779318,340.0
-669961881475065437,66.996188158213,-47.506543779318,400.0
-669961881475065437,66.996188158213,-47.506543779318,380.0
-669960038476222774,66.99600387159182,-47.622277497259525,680.0
-669960038476222774,66.99600387159182,-47.622277497259525,680.0
-669960038476222774,66.99600387159182,-47.622277497259525,680.0
-669960038476222774,66.99600387159182,-47.622277497259525,680.0
-669959743476226739,66.99597434117506,-47.62267392101142,680.0
-669959743476226739,66.99597434117506,-47.62267392101142,680.0
-669959743476226739,66.99597434117506,-47.62267392101142,680.0
-669959743476226739,66.99597434117506,-47.62267392101142,680.0
-669959743476226739,66.99597434117506,-47.62267392101142,680.0
-669959115475151110,66.99591159026824,-47.51511106286665,680.0
-669959115475151110,66.99591159026824,-47.51511106286665,680.0
-669959115475151110,66.99591159026824,-47.51511106286665,680.0
-669959115475151110,66.99591159026824,-47.51511106286665,680.0
-669959115475151110,66.99591159026824,-47.51511106286665,200.0
-669958202475972106,66.9958202003725,-47.59721067459123,680.0
-669958202475972106,66.9958202003725,-47.59721067459123,680.0
-669958202475972106,66.9958202003725,-47.59721067459123,680.0
-669956760475105396,66.99567600483681,-47.51053962905581,680.0
-669956760475105396,66.99567600483681,-47.51053962905581,680.0
-669956760475105396,66.99567600483681,-47.51053962905581,680.0
-669956590474424203,66.99565908969687,-47.44242032038225,680.0
-669956590474424203,66.99565908969687,-47.44242032038225,220.0
-669956590474424203,66.99565908969687,-47.44242032038225,560.0
-669955950476845436,66.99559505913841,-47.68454365821025,600.0
-669955950476845436,66.99559505913841,-47.68454365821025,680.0
-669955854474328184,66.9955854607524,-47.43281841982707,340.0
-669955854474328184,66.9955854607524,-47.43281841982707,500.0
-669955854474328184,66.9955854607524,-47.43281841982707,680.0
-669955854474328184,66.9955854607524,-47.43281841982707,340.0
-669954876475090267,66.99548769709152,-47.509026791599716,680.0
-669954876475090267,66.99548769709152,-47.509026791599716,660.0
-669954876475090267,66.99548769709152,-47.509026791599716,680.0
-669954876475090267,66.99548769709152,-47.509026791599716,680.0
-669954876475090267,66.99548769709152,-47.509026791599716,680.0
-669954675474416302,66.99546757339634,-47.44163026234201,320.0
-669954675474416302,66.99546757339634,-47.44163026234201,240.0
-669953883474254677,66.99538831062354,-47.4254677619639,680.0
-669953883474254677,66.99538831062354,-47.4254677619639,640.0
-669953883474254677,66.99538831062354,-47.4254677619639,320.0
-669953216475227767,66.99532165345332,-47.52277670122509,680.0
-669953216475227767,66.99532165345332,-47.52277670122509,480.0
-669953216475227767,66.99532165345332,-47.52277670122509,500.0
-669953185475375233,66.99531856134297,-47.53752338395589,680.0
-669953185475375233,66.99531856134297,-47.53752338395589,680.0
-669953185475375233,66.99531856134297,-47.53752338395589,680.0
-669953185475375233,66.99531856134297,-47.53752338395589,680.0
-669953185475375233,66.99531856134297,-47.53752338395589,680.0
-669953180476264325,66.99531809598743,-47.62643253606863,240.0
-669953180476264325,66.99531809598743,-47.62643253606863,680.0
-669953180476264325,66.99531809598743,-47.62643253606863,680.0
-669953180476264325,66.99531809598743,-47.62643253606863,680.0
-669953180476264325,66.99531809598743,-47.62643253606863,480.0
-669952441475788557,66.99524411566514,-47.57885572562482,240.0
-669952441475788557,66.99524411566514,-47.57885572562482,300.0
-669951915475442920,66.99519152420558,-47.54429207242726,300.0
-669951334477083266,66.99513341369013,-47.7083266613869,220.0
-669951334477083266,66.99513341369013,-47.7083266613869,680.0
-669951334477083266,66.99513341369013,-47.7083266613869,680.0
-669950719476595934,66.99507195846708,-47.65959345410705,620.0
-669950719476595934,66.99507195846708,-47.65959345410705,480.0
-669950719476595934,66.99507195846708,-47.65959345410705,540.0
-669950719476595934,66.99507195846708,-47.65959345410705,500.0
-669950719476595934,66.99507195846708,-47.65959345410705,580.0
-669950666476334267,66.99506660839305,-47.63342678087835,680.0
-669950666476334267,66.99506660839305,-47.63342678087835,680.0
-669950666476334267,66.99506660839305,-47.63342678087835,460.0
-669949241475031442,66.99492419838356,-47.50314427887581,380.0
-669949241475031442,66.99492419838356,-47.50314427887581,540.0
-669949241475031442,66.99492419838356,-47.50314427887581,680.0
-669949241475031442,66.99492419838356,-47.50314427887581,460.0
-669949139475659818,66.99491393370681,-47.5659818978048,220.0
-669949139475659818,66.99491393370681,-47.5659818978048,680.0
-669949139475659818,66.99491393370681,-47.5659818978048,680.0
-669948539477228294,66.99485394827653,-47.72282948670645,680.0
-669947887474956238,66.99478873901077,-47.49562381299519,680.0
-669947887474956238,66.99478873901077,-47.49562381299519,680.0
-669947887474956238,66.99478873901077,-47.49562381299519,680.0
-669947230474755825,66.99472308357757,-47.475582555127566,680.0
-669947230474755825,66.99472308357757,-47.475582555127566,680.0
-669947230474755825,66.99472308357757,-47.475582555127566,680.0
-669947230474755825,66.99472308357757,-47.475582555127566,680.0
-669945368476549485,66.99453684510219,-47.65494853156711,660.0
-669945368476549485,66.99453684510219,-47.65494853156711,680.0
-669944519475747180,66.99445197243189,-47.5747180496516,680.0
-669944519475747180,66.99445197243189,-47.5747180496516,460.0
-669944519475747180,66.99445197243189,-47.5747180496516,440.0
-669943840476239950,66.9943840050902,-47.62399504105256,500.0
-669943840476239950,66.9943840050902,-47.62399504105256,660.0
-669943840476239950,66.9943840050902,-47.62399504105256,360.0
-669943840476239950,66.9943840050902,-47.62399504105256,680.0
-669943840476239950,66.9943840050902,-47.62399504105256,680.0
-669943564475631300,66.9943564472857,-47.563130095432214,360.0
-669943448475598814,66.99434489703881,-47.55988147802909,260.0
-669943448475598814,66.99434489703881,-47.55988147802909,680.0
-669942717476631858,66.9942717354447,-47.66318585266864,680.0
-669942717476631858,66.9942717354447,-47.66318585266864,600.0
-669941936473984205,66.99419368511245,-47.39842050070113,680.0
-669941667477410271,66.99416672768648,-47.741027185064205,320.0
-669941667477410271,66.99416672768648,-47.741027185064205,620.0
-669941667477410271,66.99416672768648,-47.741027185064205,680.0
-669940518474825405,66.99405182643444,-47.482540524487455,560.0
-669940518474825405,66.99405182643444,-47.482540524487455,680.0
-669940518474825405,66.99405182643444,-47.482540524487455,240.0
-669940518474825405,66.99405182643444,-47.482540524487455,680.0
-669937398475274263,66.99373989216087,-47.52742635571424,680.0
-669937398475274263,66.99373989216087,-47.52742635571424,680.0
-669937398475274263,66.99373989216087,-47.52742635571424,680.0
-669934553474321669,66.99345539602406,-47.432166982107944,560.0
-669934553474321669,66.99345539602406,-47.432166982107944,680.0
-669934553474321669,66.99345539602406,-47.432166982107944,680.0
-669934553474321669,66.99345539602406,-47.432166982107944,680.0
-669934553474321669,66.99345539602406,-47.432166982107944,680.0
-669934302474941485,66.99343028630165,-47.49414859332874,480.0
-669934302474941485,66.99343028630165,-47.49414859332874,500.0
-669934302474941485,66.99343028630165,-47.49414859332874,680.0
-669934302474941485,66.99343028630165,-47.49414859332874,380.0
-669933442475029827,66.99334423772312,-47.50298270919031,680.0
