object_id,right_ascension,declination,corner_1_ra,corner_1_dec,corner_3_ra,corner_3_dec,semimajor_axis,semiminor_axis,position_angle
-861376041086333962,86.13760418338063,-8.633396222583961,86.13726448550837,-8.63375229642866,86.13793841534442,-8.633057506131598,2.314650535583496,1.7296217612010976,-37.78600372925794
-861375992085267543,86.13759926860307,-8.526754345285584,86.13720858691295,-8.527058743389308,86.13796663696424,-8.526447242882915,2.7021236419677734,1.5963580354472056,86.26878429597281
-861375707086634837,86.13757071876938,-8.663483746664747,86.13702388479237,-8.663946451515619,86.13811915975496,-8.662918111274303,6.132915019989014,3.0204783463602043,50.453071269141105
-861375155085410535,86.13751552718237,-8.541053574274889,86.13717293524154,-8.541391923911856,86.13784671724233,-8.540724911398895,2.073777914047241,1.710913891191289,41.23159792287649
-861375103086257757,86.13751038954608,-8.625775799816623,86.13704382943668,-8.626252396518606,86.13797046978979,-8.625307476042314,2.5233824253082275,2.4328718245140974,0.5556915814980685
-861375090087510212,86.13750901112134,-8.751021279845574,86.1370711115552,-8.751368877152174,86.137942718234,-8.750674892190842,3.448861837387085,1.8065240270540825,88.47027656150314
-861375045086366261,86.13750459489685,-8.63662613166917,86.13664499324227,-8.637335808096282,86.13835796365206,-8.635668260909615,13.142982482910156,9.672783426768849,-23.29947096811219
-861374834086991087,86.13748346257367,-8.69910877798457,86.13706108023649,-8.699445738933315,86.13784752744465,-8.698750890850812,3.4206249713897705,2.1286520741663684,73.3787498967568
-861374653086960138,86.13746538824509,-8.696013872382972,86.13723127277783,-8.696306832860179,86.13770868389842,-8.695751034597011,2.0679824352264404,1.2729690564562735,17.540900049203895
-861374605085742171,86.13746059486174,-8.574217133848043,86.13704317401577,-8.574891723288651,86.1379133011792,-8.573557946177102,7.481534004211426,3.192487510077037,-5.260485799157903
-861374557086621738,86.13745579858521,-8.662173831849993,86.13691217133047,-8.662751965155579,86.13800739834534,-8.661640292415347,4.1563591957092285,3.9285550031815673,20.705826086564866
-861374550087536973,86.13745506272616,-8.753697368263946,86.1364822198796,-8.75420161066797,86.13898410679192,-8.75311957556301,16.87847328186035,5.079292026636371,80.95710869173985
-861374474085376081,86.13744746134304,-8.537608180904112,86.13720290754246,-8.53800299950588,86.13773615176385,-8.537169394437093,4.672828197479248,1.2809180483234508,-5.349183276680347
-861374270084848921,86.13742705105258,-8.484892123743554,86.13709034766259,-8.485225557281636,86.13776403080372,-8.484558546621221,2.2307815551757812,1.960806004345186,46.985476281174186
-861374226086052287,86.1374226408494,-8.605228728452845,86.13713889116165,-8.605502478790504,86.13772857841523,-8.604974397131034,2.1948020458221436,1.353697311374142,75.23967101220768
-861374072085380345,86.13740728046855,-8.53803459079378,86.13709033209085,-8.538391871213912,86.13770785756378,-8.537585999835029,3.0791373252868652,1.4912972032269165,2.4227910108605624
-861374031086743703,86.13740318581024,-8.674370301758405,86.13654058011916,-8.675196342036806,86.13822562052177,-8.673528811227884,1.4411351680755615,1.4120595952251564,-22.503117687599634
-861373894085499865,86.13738949681867,-8.549986582512362,86.13697165792968,-8.550475194706006,86.13784192091603,-8.549502526065552,3.734290838241577,2.3901687225621417,10.328642142417818
-861373804084575338,86.13738046407433,-8.45753387559469,86.13483070509605,-8.458920158268949,86.13774984051294,-8.456140887077733,10.331639289855957,7.784845046953048,71.2467630809972
-861373691086204075,86.13736915333264,-8.620407506022381,86.13581081554452,-8.621196984215846,86.13814170706746,-8.619362444460844,13.908157348632812,4.587214456141654,-79.35420896065722
-861373501086785594,86.13735017653859,-8.678559457990215,86.13698766835577,-8.678890447047868,86.13768979083385,-8.678223419933872,2.317915201187134,2.0031093026956164,74.63018006753015
-861373373085363312,86.13733733734935,-8.536331278956057,86.13689463967027,-8.536891924956475,86.13779291604475,-8.535835909168057,3.974789619445801,2.573402196241083,9.009205887913454
-861373277084710297,86.1373277395098,-8.47102977742327,86.13687312551335,-8.471642368595898,86.13788354017525,-8.47050296552987,6.28704309463501,2.4690037789383763,-30.612587971294694
-861373201085565708,86.13732019272965,-8.556570892825603,86.13682773115146,-8.55711402170219,86.13781032508106,-8.556057961448442,3.745074987411499,3.087739600709566,18.377016850781544
-861373023086029810,86.13730239482099,-8.602981089931976,86.13705578845357,-8.603224619934894,86.13753312754396,-8.602752151976572,1.5565985441207886,1.3518930857932645,41.98607681763485
-861373016086218782,86.13730169286917,-8.62187828754955,86.13665260809881,-8.62244683848947,86.1378881936836,-8.621335090251067,3.055649518966675,2.96114129276746,-30.217221404598394
-861372845087203409,86.13728457368113,-8.72034097012325,86.13665647069091,-8.72094530027396,86.13780806753624,-8.719833600739022,3.1184535026550293,2.919468308391908,-24.78983354706318
-861372813086018485,86.13728139056718,-8.601848519909195,86.13705643643891,-8.6021412968621,86.13753370054631,-8.601529941325087,3.075148582458496,1.2602936496624366,-15.581826710768537
-861372808087089305,86.13728085641279,-8.708930528315483,86.13697153244158,-8.709223182619121,86.13756134960526,-8.708639547783468,2.304586410522461,1.577966596332247,27.805421153031237
-861372797087404869,86.13727971719389,-8.740486966552693,86.13703907079557,-8.740722484109527,86.13751658117279,-8.74025001895765,1.6248390674591064,1.2574679553458246,42.33973826399088
-861372108087599237,86.13721086714581,-8.759923711639594,86.13668230753491,-8.760368776673689,86.1377226988126,-8.759424881920827,4.019118785858154,3.2952070341173365,-83.9504458859227
-861372084086149993,86.13720847353419,-8.614999341788167,86.13502871629602,-8.618558460487248,86.13878927508826,-8.610862116583512,40.89322280883789,17.708497808846253,0.055834375884570485
-861372083085716849,86.13720830089173,-8.57168490524274,86.13665116446651,-8.57230836645233,86.13783039120179,-8.57116887036163,5.635354518890381,5.316789782081678,-86.537403127006
-861372040087430059,86.13720402702738,-8.743005969962613,86.13692534460746,-8.743277963133977,86.13748712509911,-8.742722121796177,1.6345994472503662,1.548818765731776,-82.13880152908628
-861371988085623252,86.1371988820718,-8.562325262611852,86.13668419776687,-8.562780573692784,86.13766687957177,-8.561863400816472,3.000896692276001,2.5110523475948776,-74.80888237917694
-861371920086709773,86.13719203930394,-8.670977315017597,86.13699161721216,-8.671168182175867,86.13738478962179,-8.670779091400826,1.3084567785263062,1.2074737426944058,-65.76617271640046
-861371545086024660,86.13715451845093,-8.602466015584827,86.1365787162754,-8.603002487997545,86.13770180597433,-8.601779688188222,3.3096940517425537,3.228901481817145,2.9496673550809587
-861371539084771031,86.13715391839007,-8.477103169405394,86.13675750262779,-8.477531045872057,86.13754342032915,-8.47669731146989,3.0592868328094482,2.1234206768170116,32.861802091089196
-861371363084553031,86.13713635005406,-8.455303117145112,86.13660063907619,-8.455808967208336,86.13755490479343,-8.454780704072023,4.239810943603516,3.710403031902225,-76.69453378369069
-861371292087618994,86.13712922300881,-8.761899472317081,86.13668337198442,-8.762507587643212,86.13778005385717,-8.761424835646281,7.2553181648254395,4.053709228418982,48.881964692618276
-861371262086093854,86.13712628156352,-8.609385454810347,86.13682769398557,-8.609668942919972,86.13741734296734,-8.609057528285724,2.334775447845459,1.5068338940987178,47.54477851010825
-861371256086389662,86.13712563931362,-8.638966221479576,86.13664347315427,-8.639474288237661,86.1376263367563,-8.63852933757227,3.855578660964966,3.5057544831923297,-58.1269564432215
-861371249084896928,86.13712493333762,-8.489692801765296,86.13635769055163,-8.490197704727626,86.1376771489839,-8.48916924976283,8.366198539733887,4.160995118488267,73.49039491926177
-861371208086382140,86.13712083241775,-8.638214025776856,86.13686855140094,-8.638474167495657,86.13737400075252,-8.637946129859063,1.7336183786392212,1.4276869292328158,-16.396267167922534
-861370831084661341,86.13708311733717,-8.466134107536295,86.13670718889831,-8.466503310835286,86.1374930838805,-8.46566957701905,3.3973379135131836,2.843406970549985,9.451709886857842
-861370777087076225,86.13707776654923,-8.707622561094654,86.13669127282819,-8.708000939605308,86.13747769261798,-8.707222759391739,2.2407760620117188,2.0532793201060056,-61.185355646834296
-861370251085319107,86.13702511275156,-8.531910739248644,86.13672839429184,-8.532280611050009,86.13734593862817,-8.531530294428158,3.460991144180298,1.5604913036642125,8.935532024530612
-861370051087636590,86.13700516231309,-8.763659010857053,86.13657188211687,-8.764174345076583,86.13752799743241,-8.763174852537272,6.022434711456299,1.988763048325145,39.16278345608234
-861369949085262780,86.13699495088241,-8.526278098960137,86.13653480281815,-8.52669735796059,86.13743315760654,-8.525835784893193,2.4663987159729004,2.2484885182299816,76.66224888589846
-861369932085469402,86.136993253363,-8.546940271029428,86.136748430932,-8.547197118409484,86.13722568510984,-8.546696872908157,1.809301733970642,1.433562323779945,-3.971868682093251
-861369784085312781,86.13697845991878,-8.53127813770593,86.13661639547516,-8.531641697173905,86.13729010030028,-8.530863573599863,3.1143903732299805,1.8509964711029214,11.8417889074178
-861369678086688450,86.13696788062548,-8.66884506842906,86.13648710067294,-8.669307113985278,86.13741387324554,-8.66841774816399,3.3269002437591553,2.3555579814424226,73.86851313642592
-861369647084664626,86.13696472632503,-8.466462623157044,86.13659469292912,-8.46691988787291,86.13732436246981,-8.465975072408227,4.031224250793457,1.8607726488116927,12.22476511123787
-861369567085626943,86.13695677298334,-8.562694385651538,86.13665581221542,-8.562974797095121,86.13724541858942,-8.562418937516568,1.903490662574768,1.710863913624978,-80.5762836012411
-861369502084804387,86.13695023117245,-8.480438789965921,86.1366152520062,-8.480697547259508,86.13726090082385,-8.480141660928716,2.2635698318481445,1.581459887279061,89.19668305506656
-861369016086807529,86.13690161732598,-8.680752913450666,86.13636845592129,-8.68122360926385,86.13743566442598,-8.680167505426816,5.465938091278076,4.70159238295774,25.07473205792269
-861369012085302459,86.13690128412267,-8.5302459164428,86.1365607356954,-8.530586119355767,86.13723448282813,-8.529891328500225,2.6250176429748535,2.0233294803848074,36.52920222333713
-861368987085871578,86.13689878720866,-8.587157881208315,86.13142454841672,-8.601088062545188,86.14200110130848,-8.574221629243462,198.7136993408203,65.9009627662004,-0.13485259760923565
-861368785086064581,86.13687854215084,-8.606458129486677,86.13649219140503,-8.606891104133732,86.13725025046597,-8.60600182551012,3.7221174240112305,2.209509152428268,20.002106749991853
-861368648086072657,86.13686484598423,-8.607265727434955,86.13643573811265,-8.607946649353426,86.13724969136844,-8.606501791058049,8.200114250183105,3.618585102452877,4.394867002648046
-861368642086059459,86.1368642468139,-8.60594596607739,86.13638014168814,-8.606502248486892,86.13730664392294,-8.605390661201575,4.032226085662842,2.8839256213869766,2.171290402909583
-861368588086358434,86.13685886780408,-8.63584340085349,86.13636427096992,-8.636779787753378,86.13745918564334,-8.635223673442319,11.42069149017334,5.551382933456119,-8.426894944709963
-861368447085297534,86.13684479850745,-8.52975346373326,86.13653295757872,-8.530224966804735,86.13715040963385,-8.529307984361298,4.575488567352295,1.4051254117490715,-11.825064774435848
-861368415084656359,86.1368415169295,-8.465635942837007,86.1364266205557,-8.466169834878485,86.13721242561355,-8.465169434986807,5.198236465454102,2.071421619614826,-15.416508295908141
-861368339085483354,86.13683398167763,-8.548335447322245,86.13615800732937,-8.548919416364463,86.13739331003076,-8.547724335100863,9.426918029785156,6.548317040096534,35.427809055315436
-861368157087067596,86.13681578520155,-8.706759619615795,86.1364107197427,-8.707139696261994,86.13719713716831,-8.706361515441849,2.3307976722717285,2.2256733708514265,-6.14236206587003
-861367974085700796,86.13679743284717,-8.570079690797117,86.1362306696459,-8.570585923392192,86.13738184302346,-8.5695297734327,8.188084602355957,3.146911474717684,-46.910071441272756
-861367912085292105,86.13679127202182,-8.52921055076112,86.13639284218142,-8.5296694294955,86.13717879208636,-8.528696804006167,4.734260559082031,1.781378047687296,-23.142989089883
-861367869086646021,86.13678699295161,-8.664602158030327,86.13643310554792,-8.664945948723194,86.13719139750681,-8.664278890571502,2.9118218421936035,1.9400598481694216,-75.27517594665105
-861367846086053158,86.13678469928304,-8.605315884728013,86.13632435344567,-8.60580778133279,86.13725082427337,-8.604640638888789,7.036529541015625,3.2634276789933936,-4.063383225017193
