object_id,right_ascension,declination,flag_vis,semimajor_axis,semimajor_axis_err,position_angle,position_angle_err,ellipticity,ellipticity_err
-861236611087527960,86.1236611989237,-8.752796038636076,0,1.5363229513168335,NaN,27.379304885864258,NaN,0.11332521587610245,NaN
-861236244085783243,86.12362444510886,-8.578324325555222,0,1.8607532978057861,NaN,-1.1902998685836792,NaN,0.03793803229928017,NaN
-861235459086893203,86.12354596982496,-8.689320340434875,0,7.440212249755859,NaN,1.0449765920639038,NaN,0.6002166271209717,NaN
-861232063087371983,86.1232063101067,-8.737198397007926,0,1.2463297843933105,NaN,83.34883880615234,NaN,0.29163140058517456,NaN
-861230411085273338,86.12304113474474,-8.527333857373224,2,2.012220621109009,NaN,0.821188747882843,NaN,0.05227367952466011,NaN
-861229744087278752,86.12297444307534,-8.727875263332528,0,2.1248199939727783,NaN,44.41903305053711,NaN,0.3097632825374603,NaN
-861229229086787824,86.12292296220198,-8.678782489484922,2,2.401364326477051,NaN,-74.62982940673828,NaN,0.16361543536186218,NaN
-861228299086791499,86.1228299646051,-8.679149927185824,2,3.722665786743164,NaN,-63.919151306152344,NaN,0.16154171526432037,NaN
-861228207086789410,86.12282073946466,-8.67894103908084,2,1.2614729404449463,NaN,82.78551483154297,NaN,0.2117607742547989,NaN
-861227687085303550,86.12276875424064,-8.530355042161373,0,1.1508972644805908,NaN,53.604835510253906,NaN,0.12380219250917435,NaN
-861227569087226086,86.12275699071984,-8.722608678083493,2,3.687668800354004,NaN,-62.0722541809082,NaN,0.12620514631271362,NaN
-861227496086777485,86.12274964828545,-8.677748580240367,2,3.5185434818267822,NaN,17.748428344726562,NaN,0.5850083827972412,NaN
-861227387086782612,86.12273874734909,-8.678261201712642,2,7.102140426635742,NaN,9.684926986694336,NaN,0.4813474118709564,NaN
-861227214085919139,86.12272147324275,-8.591913954034158,0,1.339422583580017,NaN,-10.806937217712402,NaN,0.04524175077676773,NaN
-861226946087228285,86.12269469908028,-8.722828598780822,2,2.432828664779663,NaN,80.7625961303711,NaN,0.528337836265564,NaN
-861226855085272441,86.12268556165918,-8.527244111601643,2,1.918549656867981,NaN,-16.598236083984375,NaN,0.6897516846656799,NaN
-861225223087227443,86.12252239385047,-8.722744365025433,2,1.6632777452468872,NaN,-83.30108642578125,NaN,0.5439521670341492,NaN
-861224746087320675,86.12247464963183,-8.7320675276572,0,1.5572373867034912,NaN,-35.98421859741211,NaN,0.1299639344215393,NaN
-861223586087228341,86.122358636499,-8.722834110376592,2,2.703968048095703,NaN,-52.09189987182617,NaN,0.3451266884803772,NaN
-861220543085378652,86.12205434598525,-8.537865271813942,0,1.206485629081726,NaN,-33.37843322753906,NaN,0.039646491408348083,NaN
-861220299087633825,86.12202996166685,-8.763382526669114,0,1.7420564889907837,NaN,83.5238265991211,NaN,0.1334788054227829,NaN
-861220250085999332,86.12202507745975,-8.59993324104434,0,1.3386414051055908,NaN,-58.954986572265625,NaN,0.04908740520477295,NaN
-861219985085497444,86.12199851541547,-8.549744422961274,0,1.6581753492355347,NaN,-37.105010986328125,NaN,0.07353602349758148,NaN
-861218282085667962,86.1218282315228,-8.566796209476173,0,1.332188367843628,NaN,-60.56067657470703,NaN,0.0356614850461483,NaN
-861217022085698129,86.12170229419444,-8.569812996341213,0,1.3429771661758423,NaN,-0.6853532195091248,NaN,0.6237733364105225,NaN
-861216807085860362,86.1216807706724,-8.586036260759409,0,1.6485594511032104,NaN,-15.263866424560547,NaN,0.16187213361263275,NaN
-861213832087469858,86.12138321400131,-8.746985838806594,0,1.2020423412322998,NaN,1.6941057443618774,NaN,0.2075285166501999,NaN
-861210692085908787,86.12106928705914,-8.590878745029418,0,1.0679824352264404,NaN,21.95123863220215,NaN,0.16122578084468842,NaN
-861210044087596478,86.12100441337702,-8.759647808808467,0,1.0208441019058228,NaN,-68.31425476074219,NaN,0.06506402790546417,NaN
-861209809086612772,86.12098093874287,-8.661277231557326,0,1.3917685747146606,NaN,-89.5184326171875,NaN,0.247732013463974,NaN
-861207726085386922,86.12077269511958,-8.538692244980775,0,1.397499442100525,NaN,-17.396438598632812,NaN,0.024006737396121025,NaN
-861207090086826618,86.12070909457199,-8.682661849274195,0,1.7803722620010376,NaN,-45.60271453857422,NaN,0.35683247447013855,NaN
-861206598087854249,86.12065985353824,-8.785424994872871,0,1.4303208589553833,NaN,67.59024047851562,NaN,0.5260102152824402,NaN
-861204989085319787,86.1204989244413,-8.531978798312224,0,1.6460585594177246,NaN,54.851295471191406,NaN,0.36571845412254333,NaN
-861204562087360702,86.12045623746992,-8.736070250420115,1,1.0972802639007568,NaN,-87.27835083007812,NaN,0.027537191286683083,NaN
-861203435085984665,86.12034356882094,-8.598466532708546,0,1.5251811742782593,NaN,46.780792236328125,NaN,0.047903064638376236,NaN
-861202915085119885,86.12029152094456,-8.511988538721978,0,1.747006893157959,NaN,-10.681892395019531,NaN,0.007907330989837646,NaN
-861200754084782392,86.12007544806812,-8.478239246441504,0,2.406494617462158,NaN,31.057313919067383,NaN,0.25417429208755493,NaN
-861200373085464892,86.12003735098286,-8.546489272453064,0,1.1062487363815308,NaN,-47.978511810302734,NaN,0.1618868112564087,NaN
-861199930085550061,86.11999308680727,-8.555006144125864,0,2.941662073135376,NaN,50.2148323059082,NaN,0.3631843328475952,NaN
-861198943085516335,86.11989431594944,-8.551633523298738,0,2.0511412620544434,NaN,27.988508224487305,NaN,0.3152723014354706,NaN
-861197993085317134,86.11979936934758,-8.531713429082775,0,3.3333022594451904,NaN,29.066110610961914,NaN,0.4181320071220398,NaN
-861195698086890043,86.119569809026,-8.689004335701634,2,57.28965759277344,NaN,35.0827522277832,NaN,0.7379190325737,NaN
-861191541084749419,86.11915416214197,-8.474941994094015,0,1.2183890342712402,NaN,-84.31517791748047,NaN,0.14135131239891052,NaN
-861191397084967977,86.11913974269642,-8.496797702503919,0,1.5106711387634277,NaN,86.4685287475586,NaN,0.31903478503227234,NaN
-861190612086281046,86.11906124353293,-8.628104637342684,2,2.3058419227600098,NaN,-50.499759674072266,NaN,0.6039152145385742,NaN
-861190575086276153,86.11905754312814,-8.62761531293869,2,5.16702127456665,NaN,48.48941421508789,NaN,0.7232909202575684,NaN
-861188904085325712,86.11889044264612,-8.532571202900762,0,2.0173847675323486,NaN,3.777273178100586,NaN,0.016667895019054413,NaN
-861188552086877583,86.11885521923193,-8.687758386473881,0,5.367007732391357,NaN,24.254934310913086,NaN,0.5918668508529663,NaN
-861188551084648038,86.11885517467873,-8.464803854456726,0,1.5612698793411255,NaN,64.14213562011719,NaN,0.11109413951635361,NaN
-861187972087299992,86.11879720917166,-8.72999920277698,0,28.03633689880371,NaN,51.82029724121094,NaN,0.865887463092804,NaN
-861187060087507603,86.11870608146612,-8.750760399619985,0,1.267088770866394,NaN,-72.47698974609375,NaN,0.2637794613838196,NaN
-861185941087272884,86.11859417095881,-8.72728845380386,2,10.180314064025879,NaN,41.737754821777344,NaN,0.651435911655426,NaN
-861185584084947365,86.11855845772614,-8.494736535834242,0,1.529063105583191,NaN,44.95390319824219,NaN,0.2193850874900818,NaN
-861185264085979952,86.11852645677861,-8.597995226447711,0,1.4290134906768799,NaN,3.925424098968506,NaN,0.07126568257808685,NaN
