object_id,sersic_sersic_vis_radius,sersic_sersic_vis_radius_err,sersic_sersic_vis_axis_ratio,sersic_sersic_vis_axis_ratio_err,sersic_sersic_vis_index,sersic_sersic_vis_index_err
-861524352086454832,0.3111444115638733,6.611236170669679E-25,0.9632445573806763,1.5236755609927995E-14,1.0,NaN
-861523028086500116,0.2781575918197632,NaN,0.9442982077598572,NaN,1.0,NaN
-861522348086365081,0.4141451418399811,3.908387294659894E-24,0.331750750541687,NaN,1.0,2.720395794481717E-13
-861521680086698849,0.2636006474494934,2.4033930165390014E-23,0.8908783197402954,3.3600299192276806E-12,1.0,NaN
-861520074086793444,0.2770850658416748,NaN,0.8364320993423462,NaN,1.0,3.0900768166475245E-8
-861519830086629565,0.3630209267139435,1.7520816649853687E-29,0.8335978984832764,2.3413866294147825E-18,1.0,4.80512923601198E-17
-861519223086340558,0.32309240102767944,1.2105063269987226E-21,0.8321886658668518,3.927172476103635E-11,1.0,NaN
-861516291086467037,0.27859359979629517,NaN,0.9762899279594421,1.0700882454445226E-12,1.0,NaN
-861514915086928812,0.24566331505775452,1.4921418981377434E-20,0.5641881823539734,4.482837434593989E-10,1.0,9.128024558435754E-9
-861514497086522946,0.4921286702156067,7.543746674579174E-25,0.5254136919975281,1.5900372381597028E-13,1.0,1.0670930285228142E-12
-861514483086925567,0.23517552018165588,NaN,0.5994521379470825,NaN,1.0,2.625842598913408E-10
-861513439086674818,0.3822862505912781,3.5829723351468144E-26,0.6571177244186401,NaN,1.0,NaN
-861512558086565858,0.30749696493148804,3.0363269873473187E-21,0.9246329665184021,1.2888629508274463E-14,1.0,NaN
-861511889086528019,0.45276838541030884,NaN,0.4750295877456665,NaN,1.0,3.54138177116603E-11
-861511041086240845,0.19215837121009827,3.1668988278609426E-23,0.7356032729148865,2.3034207874417234E-10,1.0,4.214469218055683E-9
-861510547086465294,0.41936659812927246,2.094313517942526E-28,0.9141221046447754,NaN,1.0,3.217721994919437E-17
-861508223086911220,0.44435209035873413,NaN,0.496310293674469,NaN,1.0,NaN
-861508066086907302,0.3783248960971832,NaN,0.48188960552215576,1.453334578096837E-15,1.0,9.635456114018E-16
-861507522086628007,0.18354330956935883,9.230477860297888E-23,0.7784043550491333,6.2569693350111866E-12,1.0,NaN
-861507342086729852,0.6837581992149353,1.2809192889400333E-26,0.6733356714248657,NaN,1.0,3.7632437707801165E-16
-861507326086794400,0.357932984828949,NaN,0.5745953917503357,5.618635825120567E-16,1.0,4.9785200037489284E-15
-861507154086191157,0.3409354090690613,NaN,0.4944117069244385,2.3303564092113207E-15,1.0,2.914542454493345E-14
-861507135086531394,0.5743148922920227,5.638608618741713E-22,0.31233853101730347,NaN,1.0,NaN
-861507012087056983,0.15407612919807434,7.341522654842311E-23,0.7648809552192688,8.495142957143376E-12,1.0,2.4049663593928017E-8
-861506670086592571,0.3331835865974426,3.2775480808765185E-19,0.815681517124176,NaN,1.0,NaN
-861506494086596823,0.20138660073280334,NaN,0.7336533069610596,5.000453176529085E-13,1.0,3.645336810187416E-11
-861504940086581337,0.24659180641174316,3.3335159540327545E-24,0.892275869846344,9.482091327395192E-12,1.0,6.285573190406568E-12
-861503747086589366,0.16240662336349487,4.104901238135446E-20,0.6943690180778503,2.0881933682215248E-10,1.0,NaN
-861503683086507043,0.5469905734062195,9.382064686830395E-28,0.5432233214378357,NaN,1.0,3.3249465192838196E-15
-861503161086230204,0.3049820065498352,NaN,0.9260057806968689,NaN,1.0,1.1765483335854365E-12
-861502986086592342,0.30628544092178345,2.0927184111476618E-24,0.6991198062896729,7.753509312083331E-16,1.0,NaN
-861502826086744139,0.4026419222354889,NaN,0.4855136275291443,5.525216135310318E-12,1.0,NaN
-861502824086549904,0.34714213013648987,6.821947535419485E-21,0.42639023065567017,3.4407449112094923E-10,1.0,NaN
-861502815086206949,0.17508487403392792,7.356552285244072E-22,0.8925336003303528,NaN,1.0,1.8232209697544022E-7
-861502805086563706,0.7189237475395203,NaN,0.556247353553772,6.044156590459158E-16,1.0,NaN
-861502387086849455,0.6023051738739014,3.0826672770055445E-21,0.43087100982666016,NaN,1.0,NaN
-861501472086240858,0.4763897955417633,NaN,0.9194061756134033,NaN,1.0,NaN
-861501400086787881,0.5716432332992554,7.540896734698777E-21,0.6780936121940613,NaN,1.0,NaN
-861501266086736549,0.3202241063117981,1.987606887891265E-27,0.7740459442138672,NaN,1.0,NaN
-861501014086715952,0.2929615378379822,3.8257374749216024E-19,0.9871791005134583,1.4331633102493413E-11,1.0,1.7491413872861017E-9
